Time (UNIX Epoch),Is Radio On,TX Gain,Duration (s),Bandwidth,Sample Rate,Center Frequency,Low Frequency,High Frequency
1757432979.581293,0,0,52.543,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757433032.581630,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757433092.581130,0,0,57.333,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757433149.580964,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757433209.581649,0,0,38.413,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757433247.581685,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757433307.581509,0,0,37.593,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757433345.581840,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757433405.581015,0,0,45.611,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757433451.581935,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757433511.581872,0,0,32.458,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757433543.581005,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757433603.580910,0,0,42.196,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757433645.580919,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757433705.581322,0,0,57.939,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757433763.581370,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757433823.581248,0,0,44.589,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757433868.581098,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757433928.580499,0,0,39.827,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757433968.581327,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757434028.581407,0,0,42.668,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757434071.580984,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757434131.580783,0,0,55.917,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757434187.580906,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757434247.581589,0,0,32.936,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757434280.581068,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757434340.581344,0,0,53.351,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757434393.580895,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757434453.581624,0,0,59.227,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757434512.580805,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757434572.581242,0,0,52.27,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757434624.581302,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757434684.581511,0,0,58.529,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757434743.581796,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757434803.581466,0,0,45.558,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757434849.581424,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757434909.581842,0,0,49.66,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757434959.580949,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757435019.581494,0,0,52.649,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757435072.581088,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757435132.581525,0,0,31.065,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757435163.580924,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757435223.581489,0,0,54.362,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757435277.581120,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757435337.581225,0,0,48.42,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757435385.580997,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757435445.580925,0,0,36.605,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
